iter	Passed	Remaining
759	8688	2743
760	8700	2732
761	8712	2721
762	8724	2709
763	8735	2698
764	8746	2686
765	8758	2675
766	8770	2664
767	8780	2652
768	8792	2641
769	8803	2629
770	8814	2618
771	8826	2606
772	8837	2595
773	8848	2583
774	8859	2572
775	8870	2560
776	8882	2549
777	8893	2537
778	8904	2526
779	8915	2514
780	8927	2503
781	8938	2491
782	8949	2480
783	8960	2468
784	8971	2457
785	8983	2445
786	8995	2434
787	9006	2422
788	9017	2411
789	9039	2402
790	9060	2394
791	9075	2383
792	9093	2373
793	9104	2362
794	9115	2350
795	9126	2339
796	9137	2327
797	9148	2315
798	9160	2304
799	9171	2292
800	9183	2281
801	9196	2270
802	9213	2260
803	9227	2249
804	9240	2238
805	9252	2227
806	9264	2215
807	9278	2204
808	9291	2193
809	9306	2182
810	9320	2172
811	9334	2161
812	9347	2150
813	9359	2138
814	9372	2127
815	9384	2116
816	9397	2104
817	9409	2093
818	9421	2082
819	9433	2070
820	9445	2059
821	9458	2048
822	9469	2036
823	9480	2024
824	9491	2013
825	9502	2001
826	9513	1990
827	9525	1978
828	9536	1967
829	9547	1955
830	9559	1944
831	9570	1932
832	9582	1921
833	9595	1909
834	9606	1898
835	9617	1886
836	9627	1874
837	9638	1863
838	9649	1851
839	9659	1839
840	9670	1828
841	9682	1816
842	9693	1805
843	9704	1793
844	9716	1782
845	9727	1770
846	9738	1759
847	9750	1747
848	9761	1736
849	9772	1724
850	9783	1712
851	9794	1701
852	9805	1689
853	9816	1678
854	9827	1666
855	9838	1655
856	9849	1643
857	9860	1632
858	9871	1620
859	9883	1608
860	9894	1597
861	9905	1585
862	9917	1574
863	9928	1562
864	9939	1551
865	9950	1539
866	9961	1528
867	9972	1516
868	9983	1504
869	9994	1493
870	10006	1481
871	10017	1470
872	10027	1458
873	10038	1447
874	10050	1435
875	10062	1424
876	10073	1412
877	10084	1401
878	10096	1389
879	10107	1378
880	10122	1367
881	10136	1356
882	10146	1344
883	10157	1332
884	10168	1321
885	10179	1309
886	10190	1298
887	10203	1286
888	10216	1275
889	10229	1264
890	10241	1252
891	10254	1241
892	10267	1230
893	10278	1218
894	10289	1207
895	10300	1195
896	10311	1184
897	10322	1172
898	10333	1160
899	10344	1149
900	10356	1137
901	10367	1126
902	10378	1114
903	10389	1103
904	10400	1091
905	10411	1080
906	10422	1068
907	10433	1057
908	10444	1045
909	10455	1034
910	10468	1022
911	10480	1011
912	10492	999
913	10503	988
914	10515	976
915	10527	965
916	10539	953
917	10550	942
918	10562	930
919	10573	919
920	10585	907
921	10596	896
922	10607	884
923	10619	873
924	10631	862
925	10642	850
926	10652	838
927	10663	827
928	10674	815
929	10685	804
930	10696	792
931	10706	781
932	10718	769
933	10729	758
934	10740	746
935	10751	735
936	10762	723
937	10773	712
938	10784	700
939	10795	689
940	10806	677
941	10818	666
942	10829	654
943	10839	643
944	10850	631
945	10861	619
946	10872	608
947	10882	596
948	10894	585
949	10905	573
950	10915	562
951	10927	550
952	10938	539
953	10948	527
954	10961	516
955	10972	505
956	10983	493
957	10994	482
958	11005	470
959	11016	459
960	11027	447
961	11038	436
962	11049	424
963	11059	413
964	11070	401
965	11081	390
966	11092	378
967	11103	367
968	11113	355
969	11124	344
970	11135	332
971	11146	321
972	11158	309
973	11169	298
974	11179	286
975	11190	275
976	11201	263
977	11212	252
978	11223	240
979	11235	229
980	11246	217
981	11256	206
982	11267	194
983	11278	183
984	11289	171
985	11300	160
986	11310	148
987	11322	137
988	11333	126
989	11344	114
990	11355	103
991	11366	91
992	11377	80
993	11390	68
994	11404	57
995	11416	45
996	11429	34
997	11442	22
998	11454	11
999	11466	0
